City/External ID,Neighborhood Name
res_city_turkiye_data_kita.3,Fadıl Mah
res_city_turkiye_data_kita.3,Gökkuyu Mah
res_city_turkiye_data_kita.3,Güzelyalı Mah
res_city_turkiye_data_kita.3,Kabasakal Mah
res_city_turkiye_data_kita.3,Karahan Mah
res_city_turkiye_data_kita.3,Karslılar Mah
res_city_turkiye_data_kita.3,Kaşoba Mah
res_city_turkiye_data_kita.3,Kocatepe Mah
res_city_turkiye_data_kita.3,Kurttepe Mah
res_city_turkiye_data_kita.3,Küçükçınar Mah
res_city_turkiye_data_kita.3,Mahfesığmaz Mah
res_city_turkiye_data_kita.3,Memişli Mah
res_city_turkiye_data_kita.3,Örcün Mah
res_city_turkiye_data_kita.3,Pirili Mah
res_city_turkiye_data_kita.3,Söğütlü Mah
res_city_turkiye_data_kita.3,Şambayadı Mah
res_city_turkiye_data_kita.3,Toros Mah
res_city_turkiye_data_kita.3,Yeni Mah
res_city_turkiye_data_kita.3,Yurt Mah
res_city_turkiye_data_kita.3,Salbaş Esentepe Mah
res_city_turkiye_data_kita.4,Akkaya Mah
res_city_turkiye_data_kita.4,Akoluk Mah
res_city_turkiye_data_kita.4,Bağdatlı Mah
res_city_turkiye_data_kita.4,Bahçecik Mah
res_city_turkiye_data_kita.4,Çandırlar Mah
res_city_turkiye_data_kita.4,Çondu Mah
res_city_turkiye_data_kita.4,Çürükler Mah
res_city_turkiye_data_kita.4,Değirmenciuşağı Mah
res_city_turkiye_data_kita.4,Gaffaruşağı Mah
res_city_turkiye_data_kita.4,Gedikli Mah
res_city_turkiye_data_kita.4,Göbelli Mah
res_city_turkiye_data_kita.4,Gürümze Mah
res_city_turkiye_data_kita.4,Güzpınarı Mah
res_city_turkiye_data_kita.4,Hıdıruşağı Mah
res_city_turkiye_data_kita.4,İncirci Mah
res_city_turkiye_data_kita.4,Kaleyüzü Mah
res_city_turkiye_data_kita.4,Kaşaltı Mah
res_city_turkiye_data_kita.4,Kayadibi Mah
res_city_turkiye_data_kita.4,Kırıkuşağı Mah
res_city_turkiye_data_kita.4,Kısacıklı Mah
res_city_turkiye_data_kita.4,Kızılyer Mah
res_city_turkiye_data_kita.4,Koçyazı Mah
res_city_turkiye_data_kita.4,Konakkuran Mah
res_city_turkiye_data_kita.4,Kovukçınar Mah
res_city_turkiye_data_kita.4,Mansurlu Mah
res_city_turkiye_data_kita.4,Musalar Mah
res_city_turkiye_data_kita.4,Olucak Mah
res_city_turkiye_data_kita.4,Ormancık Mah
res_city_turkiye_data_kita.4,Ortaköy Mah
res_city_turkiye_data_kita.4,Oruçlu Mah
res_city_turkiye_data_kita.4,Paşalı Mah
res_city_turkiye_data_kita.4,Süphandere Mah
res_city_turkiye_data_kita.4,Şahmuratlı Mah
res_city_turkiye_data_kita.4,Tenkerli Mah
res_city_turkiye_data_kita.4,Tokmanaklı Mah
res_city_turkiye_data_kita.4,Tortulu Mah
res_city_turkiye_data_kita.4,Uğurlubağ Mah
res_city_turkiye_data_kita.4,Yaylapınar Mah
res_city_turkiye_data_kita.4,Yerebakan Mah
res_city_turkiye_data_kita.4,Belenköy Mah
res_city_turkiye_data_kita.4,Gökçeli Mah
res_city_turkiye_data_kita.4,İslam Mah
res_city_turkiye_data_kita.4,Karacaoğlan Mah
res_city_turkiye_data_kita.4,Karacauşağı Mah
res_city_turkiye_data_kita.4,Kazancı Mah
res_city_turkiye_data_kita.4,Keklikçi Mah
res_city_turkiye_data_kita.4,Sülemişli Mah
res_city_turkiye_data_kita.4,Yeşil Düşmüş Mah
res_city_turkiye_data_kita.5,Adalet Mah
res_city_turkiye_data_kita.5,Cumhuriyet Mah
res_city_turkiye_data_kita.5,Fatih Mah
res_city_turkiye_data_kita.5,Hürriyet Mah
res_city_turkiye_data_kita.5,Menteş Mah
res_city_turkiye_data_kita.5,Tuna Mah
res_city_turkiye_data_kita.5,Ağzıkaraca Mah
res_city_turkiye_data_kita.5,Alaybeyi Mah
res_city_turkiye_data_kita.5,Aliler Mah
res_city_turkiye_data_kita.5,Ayvalı Mah
res_city_turkiye_data_kita.5,Camili Mah
res_city_turkiye_data_kita.5,Çörten Mah
res_city_turkiye_data_kita.5,Danacılı Mah
res_city_turkiye_data_kita.5,Hacıhasanlı Mah
res_city_turkiye_data_kita.5,Koyunevi Mah
res_city_turkiye_data_kita.5,Malıhıdırlı Mah
res_city_turkiye_data_kita.5,Otluk Mah
res_city_turkiye_data_kita.5,Pekmezci Mah
res_city_turkiye_data_kita.5,Sayca Mah
res_city_turkiye_data_kita.5,Saygeçit Mah
res_city_turkiye_data_kita.5,Sevinçli Mah
res_city_turkiye_data_kita.5,Sokutaş Mah
res_city_turkiye_data_kita.5,Ufacıkören Mah
res_city_turkiye_data_kita.5,Uluçınar Mah
res_city_turkiye_data_kita.5,Üçtepe Mah
res_city_turkiye_data_kita.5,Yazıtepe Mah
res_city_turkiye_data_kita.5,Yenievler Mah
res_city_turkiye_data_kita.6,Akçalı Mah
res_city_turkiye_data_kita.6,Aktaş Mah
res_city_turkiye_data_kita.6,Altınova Mah
res_city_turkiye_data_kita.6,Aşağıbelemedik Mah
res_city_turkiye_data_kita.6,Aşağıyörükler Mah
res_city_turkiye_data_kita.6,Ayakkıf Mah
res_city_turkiye_data_kita.6,Barakdağı Mah
res_city_turkiye_data_kita.6,Başkıf Mah
res_city_turkiye_data_kita.6,Bekirli Mah
res_city_turkiye_data_kita.6,Beydemir Mah
res_city_turkiye_data_kita.6,Bolacalı Mah
res_city_turkiye_data_kita.6,Bucak Mah
res_city_turkiye_data_kita.6,Çakallı Mah
res_city_turkiye_data_kita.6,Çatalan Mah
res_city_turkiye_data_kita.6,Çeceli Mah
res_city_turkiye_data_kita.6,Çevlik Mah
res_city_turkiye_data_kita.6,Çocuklar Mah
res_city_turkiye_data_kita.6,Çorlu Mah
res_city_turkiye_data_kita.6,Çukur Mah
res_city_turkiye_data_kita.6,Demirçit Mah
res_city_turkiye_data_kita.6,Döşekevi Mah
res_city_turkiye_data_kita.6,Durak Mah
res_city_turkiye_data_kita.6,Eğlence Mah
res_city_turkiye_data_kita.6,Emelcik Mah
res_city_turkiye_data_kita.6,Etekli Mah
res_city_turkiye_data_kita.6,Fettahlı Mah
res_city_turkiye_data_kita.6,Filikli Mah
res_city_turkiye_data_kita.6,Gildirli Mah
res_city_turkiye_data_kita.6,Gökhasanlı Mah
res_city_turkiye_data_kita.6,Gülüşlü Mah
res_city_turkiye_data_kita.6,Güvenç Mah
res_city_turkiye_data_kita.6,Hacılı Mah
res_city_turkiye_data_kita.6,Hacımusalı Mah
res_city_turkiye_data_kita.6,Kaledağı Mah
res_city_turkiye_data_kita.6,Kapıkaya Mah
res_city_turkiye_data_kita.6,Karahasanlı Mah
res_city_turkiye_data_kita.6,Karakılıç Mah
res_city_turkiye_data_kita.6,Karakuyu Mah
res_city_turkiye_data_kita.6,Karapınar Mah
res_city_turkiye_data_kita.6,Kıralan Mah
res_city_turkiye_data_kita.6,Kırıklı Mah
res_city_turkiye_data_kita.6,Kocaveliler Mah
res_city_turkiye_data_kita.6,Körüklü Mah
res_city_turkiye_data_kita.6,Kuşcusofulu Mah
res_city_turkiye_data_kita.6,Kuyucu Mah
res_city_turkiye_data_kita.6,Kuzgun Mah
res_city_turkiye_data_kita.6,Maraşlı Mah
res_city_turkiye_data_kita.6,Merkezboztahta Mah
res_city_turkiye_data_kita.6,Murtçukuru Mah
res_city_turkiye_data_kita.6,Nergizlik Mah
res_city_turkiye_data_kita.6,Nuhlu Mah
res_city_turkiye_data_kita.6,Ömerli Mah
res_city_turkiye_data_kita.6,Sadıkali Mah
res_city_turkiye_data_kita.6,Sarımehmetli Mah
res_city_turkiye_data_kita.6,Saypınar Mah
res_city_turkiye_data_kita.6,Selampınar Mah
res_city_turkiye_data_kita.6,Tatık Mah
res_city_turkiye_data_kita.6,Topaktaş Mah
res_city_turkiye_data_kita.6,Topkaralı Mah
res_city_turkiye_data_kita.6,Torunsolaklı Mah
res_city_turkiye_data_kita.6,Tümenli Mah
res_city_turkiye_data_kita.6,Yazıbaşı Mah
res_city_turkiye_data_kita.7,Adalı Mah
res_city_turkiye_data_kita.7,Ataköy Mah
res_city_turkiye_data_kita.7,Bahçe Mah
res_city_turkiye_data_kita.7,Bebeli Mah
res_city_turkiye_data_kita.7,Çağşırlı Mah
res_city_turkiye_data_kita.7,Çakırören Mah
res_city_turkiye_data_kita.7,Çavuşlu Mah
res_city_turkiye_data_kita.7,Çimeli Mah
res_city_turkiye_data_kita.7,Çukurkamış Mah
res_city_turkiye_data_kita.7,Damlapınar Mah
res_city_turkiye_data_kita.7,Develiören Mah
res_city_turkiye_data_kita.7,Dolaplı Mah
res_city_turkiye_data_kita.7,Gölkaya Mah
res_city_turkiye_data_kita.7,Hacıhasan Mah
res_city_turkiye_data_kita.7,Hasırağacı Mah
